"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1060",14100,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1060",811080,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Queerer Kleinprojektetopf","1030",2533,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Queerer Kleinprojektetopf","1040",1940,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Queerer Kleinprojektetopf","1080",3300,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Queerer Kleinprojektetopf","1150",2010,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Queerer Kleinprojektetopf","1050",2930,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Queerer Kleinprojektetopf","1030",2500,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Queerer Kleinprojektetopf","1160",3050,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Queerer Kleinprojektetopf","1160",4737,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1120",96000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1150",149562.92,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1050",68839.77,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1050",50000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1030",128543.8,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1010",171904.57,1,2024
