"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1030",3000,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1120",8900,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1070",4900,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1070",3200,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Kulturinitiativen","1150",4000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1090",7e+05,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Bildende Kunst und Medienkunst","1070",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Kulturinitiativen","1010",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1030",30000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1060",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Musik","1030",5000,1,2023
"Kultur und Wissenschaft","Kultur","Bau- und Investitonskostenzuschuss","1030",595000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1090",5000,1,2023
"Kultur und Wissenschaft","Kultur","Wiener Altstadterhaltungsfonds","1010",111481.93,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Bildende Kunst und Medienkunst","1010",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1190",5000,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1040",2070,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Musik","1050",3000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1020",3500,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1020",7055,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1010",4e+05,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1010",2500,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1050",4000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Musik","1090",5000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1150",4000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1050",4000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1010",4000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1040",4000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1060",4000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1040",4000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1040",4000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1100",2000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1230",1e+05,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1230",10000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1090",2500,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1010",4000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1010",4000,1,2023
"Kultur und Wissenschaft","Kultur","Wiener Altstadterhaltungsfonds","1010",22085.69,1,2023
"Kultur und Wissenschaft","Kultur","Wiener Altstadterhaltungsfonds","1010",11246.79,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1150",3000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1100",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1100",1000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1030",25000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Kulturinitiativen","1040",500,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1010",2000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1030",7000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1080",50000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1080",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Kulturinitiativen","1050",2000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1120",1e+05,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1120",10000,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1190",6300,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1090",3000,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1200",3955,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1090",50000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1090",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1220",10000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1090",150000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1090",15000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1150",7000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1150",1000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1220",80000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1220",8000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1160",70000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1160",7000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1030",80000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1030",8000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1040",1e+05,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1040",10000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1090",3500,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1020",7000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1150",90000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1150",9000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1150",80000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1150",8000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1150",80000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1150",8000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1010",3000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1030",80000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1030",8000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1160",80000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1160",8000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1010",4500,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1070",3000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1150",5000,1,2023
"Kultur und Wissenschaft","Kultur","Würdigungspreise der Stadt Wien","1010",4000,1,2023
"Kultur und Wissenschaft","Kultur","Wiener Altstadterhaltungsfonds","1010",57980,1,2023
"Kultur und Wissenschaft","Kultur","Bau- und Investitonskostenzuschuss","1070",430000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1130",5000,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1050",9400,1,2023
"Kultur und Wissenschaft","Kultur","Kunstankauf","1150",3500,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1050",90000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1050",9000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1180",1000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Musik","1040",10000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1230",2500,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1050",4000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1080",8000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1130",1000,1,2023
"Kultur und Wissenschaft","Kultur","Wiener Altstadterhaltungsfonds","1010",118661.78,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1180",1500,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Musik","1010",35000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1210",2000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1020",4000,1,2023
"Kultur und Wissenschaft","Kultur","Bau- und Investitonskostenzuschuss","1120",65000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1200",1675000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Darstellende Kunst","1200",250000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Literatur","1010",6000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Wissenschaft und Forschung","1010",3000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Musik","1010",3500,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Kulturinitiativen","1020",1e+05,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1160",8000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1220",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1030",6000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1220",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1070",3000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1010",35000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1050",3000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1050",1000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1120",5000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1070",9000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1170",3000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1020",6000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1180",10000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1090",9000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1040",4000,1,2023
"Kultur und Wissenschaft","Kultur","Einzel- und Gesamtförderung im Bereich Film, Mode und Design","1020",6000,1,2023
